"","species","genus_species","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory1","redlistCategory2","redlistCategory3","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"5315","Nyctophilus walkeri","Nyctophilus walkeri","Vespertilionidae","Chiroptera",4.34,1,"Yes",-14.821389,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5316","Ochotona alpina","Ochotona alpina","Ochotonidae","Lagomorpha",150,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5317","Ochotona annectens","Ochotona annectens","Ochotonidae","Lagomorpha",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5318","Ochotona argentata","Ochotona argentata","Ochotonidae","Lagomorpha",142.15,0,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5319","Ochotona bedfordi","Ochotona bedfordi",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5320","Ochotona cansus","Ochotona cansus","Ochotonidae","Lagomorpha",68.75,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5321","Ochotona collaris","Ochotona collaris","Ochotonidae","Lagomorpha",129,1,"Yes",63.351812917536,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5322","Ochotona coreana","Ochotona coreana","Ochotonidae","Lagomorpha",NA,NA,"Yes",41.09,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5323","Ochotona curzoniae","Ochotona curzoniae","Ochotonidae","Lagomorpha",131.48,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5324","Ochotona dauurica","Ochotona dauurica","Ochotonidae","Lagomorpha",109,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5325","Ochotona erythrotis","Ochotona erythrotis","Ochotonidae","Lagomorpha",181,1,"Yes",32.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5326","Ochotona fenisex","Ochotona fenisex",NA,"Lagomorpha",NA,NA,"Yes",47.35487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5327","Ochotona forresti","Ochotona forresti","Ochotonidae","Lagomorpha",111.65,2,"Yes",25.981383,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5328","Ochotona gaoligongensis","Ochotona gaoligongensis","Ochotonidae","Lagomorpha",111.61,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5329","Ochotona gloveri","Ochotona gloveri","Ochotonidae","Lagomorpha",181.97,2,"Yes",32.639374,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5330","Ochotona hamica","Ochotona hamica",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5331","Ochotona himalayana","Ochotona himalayana","Ochotonidae","Lagomorpha",189.31,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5332","Ochotona hoffmanni","Ochotona hoffmanni","Ochotonidae","Lagomorpha",142.15,0,"Yes",47.423412,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5333","Ochotona huangensis","Ochotona huangensis","Ochotonidae","Lagomorpha",105.33,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5334","Ochotona hyperborea","Ochotona hyperborea","Ochotonidae","Lagomorpha",120,1,"Yes",62.333333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5335","Ochotona iliensis","Ochotona iliensis","Ochotonidae","Lagomorpha",209.75,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5336","Ochotona koslowi","Ochotona koslowi","Ochotonidae","Lagomorpha",182.03,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5337","Ochotona ladacensis","Ochotona ladacensis","Ochotonidae","Lagomorpha",182.19,2,"Yes",33.25,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5338","Ochotona lama","Ochotona lama",NA,"Lagomorpha",NA,NA,"Yes",28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5339","Ochotona macrotis","Ochotona macrotis","Ochotonidae","Lagomorpha",260,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5340","Ochotona mantchurica","Ochotona mantchurica","Ochotonidae","Lagomorpha",NA,NA,"Yes",52.32,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5341","Ochotona muliensis","Ochotona muliensis","Ochotonidae","Lagomorpha",182,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5342","Ochotona nigritia","Ochotona nigritia","Ochotonidae","Lagomorpha",142.15,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5343","Ochotona nubrica","Ochotona nubrica","Ochotonidae","Lagomorpha",116.21,2,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5344","Ochotona opaca","Ochotona pallasi opaca","Ochotonidae","Lagomorpha",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5345","Ochotona pallasi","Ochotona pallasi","Ochotonidae","Lagomorpha",149.62,2,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5346","Ochotona pallasii","Ochotona pallasi","Ochotonidae","Lagomorpha",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5347","Ochotona pricei","Ochotona pricei",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5348","Ochotona princeps","Ochotona princeps","Ochotonidae","Lagomorpha",157.63,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5349","Ochotona pusilla","Ochotona pusilla","Ochotonidae","Lagomorpha",142.5,1,"Yes",51.29,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5350","Ochotona roylei","Ochotona roylei","Ochotonidae","Lagomorpha",260,1,"Yes",30.071517,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5351","Ochotona rufescens","Ochotona rufescens","Ochotonidae","Lagomorpha",250,1,"Yes",34.583328,"Least Concern",NA,NA,"research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5352","Ochotona rutila","Ochotona rutila","Ochotonidae","Lagomorpha",182.02,2,"Yes",39.973545,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5353","Ochotona sikimaria","Ochotona sikimaria","Ochotonidae","Lagomorpha",NA,NA,"Yes",27.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5354","Ochotona sushkini","Ochotona sushkini",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5355","Ochotona syrinx","Ochotona syrinx","Ochotonidae","Lagomorpha",NA,NA,"Yes",35.8,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5356","Ochotona thibetana","Ochotona thibetana","Ochotonidae","Lagomorpha",83.1,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5357","Ochotona thomasi","Ochotona thomasi","Ochotonidae","Lagomorpha",111.63,2,"Yes",32.93,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5358","Ochotona turuchanensis","Ochotona turuchanensis","Ochotonidae","Lagomorpha",142.15,0,"Yes",69.05,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5359","Ochotona wollastoni","Ochotona wollastoni",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5360","Ochrotomys nuttalli","Ochrotomys nuttalli","Cricetidae","Rodentia",22.37,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5361","Octodon bridgesi","Octodon bridgesi","Octodontidae","Rodentia",150,1,"Yes",-39.81722,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5362","Octodon degus","Octodon degus","Octodontidae","Rodentia",210,1,"Yes",-33.349998,"Least Concern",NA,NA,"establishing_ex_situ_production","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5363","Octodon lunatus","Octodon lunatus","Octodontidae","Rodentia",233,1,"Yes",-33.266667,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5364","Octodon pacificus","Octodon pacificus","Octodontidae","Rodentia",194.34,0,"Yes",-38.37,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5365","Octodontomys gliroides","Octodontomys gliroides","Octodontidae","Rodentia",150,1,"Yes",-23.578293,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5366","Octomys mimax","Octomys mimax","Octodontidae","Rodentia",131,1,"Yes",-30.083333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5367","Odobenus rosmarus","Odobenus rosmarus","Odobenidae","Carnivora",825000,1,"No",NA,"Not Applicable","Vulnerable",NA,"food_human","handicrafts_jewellery","other_household_goods","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5368","Odocoileus hemionus","Odocoileus hemionus","Cervidae","Artiodactyla",54212.57,1,"No",NA,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5369","Odocoileus pandora","Odocoileus pandora","Cervidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5370","Odocoileus speleus","Odocoileus speleus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5371","Odocoileus virginianus","Odocoileus virginianus","Cervidae","Artiodactyla",55508.56,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5372","Oecomys auyantepui","Oecomys auyantepui","Cricetidae","Rodentia",67.41,0,"Yes",4.61275,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5373","Oecomys bicolor","Oecomys bicolor","Cricetidae","Rodentia",34,1,"Yes",-3.822466,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5374","Oecomys catherinae","Oecomys catherinae","Cricetidae","Rodentia",67.41,0,"Yes",-12.62,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5375","Oecomys cleberi","Oecomys cleberi","Cricetidae","Rodentia",73.4,1,"Yes",-18.1,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5376","Oecomys concolor","Oecomys concolor","Cricetidae","Rodentia",61.55,1,"Yes",5.325,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5377","Oecomys flavicans","Oecomys flavicans","Cricetidae","Rodentia",73.4,1,"Yes",7.583333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5378","Oecomys franciscorum","Oecomys franciscorum","Cricetidae","Rodentia",NA,NA,"Yes",-18.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5379","Oecomys mamorae","Oecomys mamorae","Cricetidae","Rodentia",62.5,1,"Yes",-17.383333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5380","Oecomys paricola","Oecomys paricola","Cricetidae","Rodentia",73.4,1,"Yes",-11.23,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5381","Oecomys phaeotis","Oecomys phaeotis","Cricetidae","Rodentia",73.4,1,"Yes",-13.100533,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5382","Oecomys rex","Oecomys rex","Cricetidae","Rodentia",73.4,1,"Yes",3.617,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5383","Oecomys roberti","Oecomys roberti","Cricetidae","Rodentia",73.4,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5384","Oecomys rutilus","Oecomys rutilus","Cricetidae","Rodentia",73.4,1,"Yes",4.083,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5385","Oecomys speciosus","Oecomys speciosus","Cricetidae","Rodentia",73.4,1,"Yes",9.32,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5386","Oecomys superans","Oecomys superans","Cricetidae","Rodentia",73.4,1,"Yes",-1.533333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5387","Oecomys sydandersoni","Oecomys sydandersoni","Cricetidae","Rodentia",NA,NA,"Yes",-14.7431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5388","Oecomys tapajinus","Oecomys tapajinus","Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5389","Oecomys trinitatis","Oecomys trinitatis","Cricetidae","Rodentia",73.4,1,"Yes",4.70858,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5390","Oenomys hypoxanthus","Oenomys hypoxanthus","Muridae","Rodentia",90,1,"Yes",-1.1667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5391","Oenomys ornatus","Oenomys ornatus","Muridae","Rodentia",85.5,1,"Yes",7.5833,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5392","Okapia erikssoni","Okapia erikssoni",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5393","Okapia johnstoni","Okapia johnstoni","Giraffidae","Artiodactyla",230001.15,1,"Yes",1.383333,"Endangered",NA,NA,"food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5394","Olallamys albicauda","Olallamys albicauda","Echimyidae","Rodentia",273.5,1,"Yes",5.3883335,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5395","Olallamys edax","Olallamys edax","Echimyidae","Rodentia",206.4,1,"Yes",4.60197,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5396","Oligopithecus rogeri","Oligopithecus rogeri",NA,"Primates",NA,NA,"Yes",17.060833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5397","Oligopithecus savagei","Oligopithecus savagei",NA,"Primates",NA,NA,"Yes",29.450001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5398","Oligoryzomys andinus","Oligoryzomys andinus","Cricetidae","Rodentia",25.2,1,"Yes",-9.50763,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5399","Oligoryzomys arenalis","Oligoryzomys arenalis","Cricetidae","Rodentia",25.2,1,"Yes",-7.708333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5400","Oligoryzomys brendae","Oligoryzomys brendae","Cricetidae","Rodentia",23.96,0,"Yes",-24.299507,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5401","Oligoryzomys chacoensis","Oligoryzomys chacoensis","Cricetidae","Rodentia",23,1,"Yes",-22.4328,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5402","Oligoryzomys costaricensis","Oligoryzomys costaricensis","Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5403","Oligoryzomys delticola","Oligoryzomys delticola","Cricetidae","Rodentia",29.4,1,"Yes",-33.599998,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5404","Oligoryzomys destructor","Oligoryzomys destructor","Cricetidae","Rodentia",25.2,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5405","Oligoryzomys eliurus","Oligoryzomys eliurus","Cricetidae","Rodentia",30,1,"Yes",-23.65,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5406","Oligoryzomys flavescens","Oligoryzomys flavescens","Cricetidae","Rodentia",21.3,1,"Yes",-33.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5407","Oligoryzomys fornesi","Oligoryzomys fornesi","Cricetidae","Rodentia",23.96,0,"Yes",-26.564649,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5408","Oligoryzomys fulvescens","Oligoryzomys fulvescens","Cricetidae","Rodentia",25,1,"Yes",16.133889,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5409","Oligoryzomys griseolus","Oligoryzomys griseolus","Cricetidae","Rodentia",25.2,1,"Yes",4.6,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5410","Oligoryzomys longicaudatus","Oligoryzomys longicaudatus","Cricetidae","Rodentia",27,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5411","Oligoryzomys magellanicus","Oligoryzomys magellanicus","Cricetidae","Rodentia",25.2,1,"Yes",-53.628333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5412","Oligoryzomys mattogrossae","Oligoryzomys mattogrossae","Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5413","Oligoryzomys messorius","Oligoryzomys messorius","Cricetidae","Rodentia",NA,NA,"Yes",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5414","Oligoryzomys microtis","Oligoryzomys microtis","Cricetidae","Rodentia",22.5,1,"Yes",-12.34,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5415","Oligoryzomys moojeni","Oligoryzomys moojeni","Cricetidae","Rodentia",NA,NA,"Yes",-13.95,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5416","Oligoryzomys nigripes","Oligoryzomys nigripes","Cricetidae","Rodentia",20.5,1,"Yes",-24.366667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5417","Oligoryzomys occidentalis","Oligoryzomys occidentalis","Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5418","Oligoryzomys rupestris","Oligoryzomys rupestris","Cricetidae","Rodentia",NA,NA,"Yes",-13.17,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5419","Oligoryzomys stramineus","Oligoryzomys stramineus","Cricetidae","Rodentia",23.96,0,"Yes",-14.53,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5420","Oligoryzomys utiaritensis","Oligoryzomys utiaritensis","Cricetidae","Rodentia",NA,NA,"Yes",-12.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5421","Oligoryzomys vegetus","Oligoryzomys vegetus","Cricetidae","Rodentia",15,1,"Yes",8.93,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5422","Oligoryzomys victus","Oligoryzomys victus","Cricetidae",NA,23.96,0,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5423","Ommatophoca rossii","Ommatophoca rossii","Phocidae","Carnivora",250000,1,"Yes",-65.43754,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5424","Ondatra obscurus","Ondatra obscurus",NA,"Rodentia",NA,NA,"Yes",47.881111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5425","Ondatra zibethicus","Ondatra zibethicus","Cricetidae","Rodentia",1065.75,1,"Yes",51.01875,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5426","Onychogalea fraenata","Onychogalea fraenata","Macropodidae","Diprotodontia",5500,1,"Yes",-32.833,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5427","Onychogalea lunata","Onychogalea lunata","Macropodidae","Diprotodontia",3500,1,"Yes",-23.5729,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5428","Onychogalea unguifera","Onychogalea unguifera","Macropodidae","Diprotodontia",6650,1,"Yes",-17.1985565,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5429","Onychomys arenicola","Onychomys arenicola","Cricetidae","Rodentia",30,1,"Yes",31.174573,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5430","Onychomys bruneri","Onychomys bruneri",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5431","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia",27.92,1,"Yes",37.865330313392,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Onychomys torridus","Onychomys torridus","Cricetidae","Rodentia",24.97,1,"Yes",32.608299,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5433","Onychonycteris finneyi","Onychonycteris finneyi",NA,"Chiroptera",NA,NA,"Yes",41.816666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5434","Orcaella brevirostris","Orcaella brevirostris","Delphinidae","Cetacea",190000,1,"Yes",12.6794735,"Endangered",NA,NA,"pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5435","Orcaella heinsohni","Orcaella heinsohni","Delphinidae","Cetacea",NA,NA,"Yes",-12.51591,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
