"","species","ID","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory1","redlistCategory2","redlistCategory3","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"3465","Lemmus sibiricus",1024554,"Cricetidae","Rodentia",52.27,1,"Yes",70.6364669613306,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3466","Lemmus trimucronatus",498753,"Cricetidae","Rodentia",69.82,1,"Yes",64.319444,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3467","Lemniscomys barbarus",771874,"Muridae","Rodentia",33.43,1,"No",NA,"Least Concern",NA,NA,"pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3468","Lemniscomys bellieri",686845,"Muridae","Rodentia",46.47,2,"Yes",6.2,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3469","Lemniscomys griselda",167551,"Muridae","Rodentia",58,1,"Yes",-11.625,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3470","Lemniscomys hoogstraali",3608760,"Muridae","Rodentia",44.92,2,"Yes",10.43,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3471","Lemniscomys linulus",3608761,"Muridae","Rodentia",44.45,2,"Yes",9.42,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3472","Lemniscomys macculus",911464,"Muridae","Rodentia",26.5,1,"Yes",3.883,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3473","Lemniscomys mittendorfi",3608759,"Muridae","Rodentia",41.85,1,"Yes",6.22,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3474","Lemniscomys rosalia",1071848,"Muridae","Rodentia",59.3,1,"Yes",-15.57,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3475","Lemniscomys roseveari",3608758,"Muridae",NA,44.73,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3476","Lemniscomys striatus",911461,"Muridae","Rodentia",38.13,1,"Yes",0.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3477","Lemniscomys zebra",911453,"Muridae","Rodentia",41.16,0,"Yes",10.5683,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3478","Lemur catta",913930,"Lemuridae","Primates",2900,1,"Yes",-22.405076,"Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3479","Lemur lecomystax",7655178,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3480","Lenomys meyeri",3610594,"Muridae","Rodentia",74.17,2,"Yes",0.7638,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3481","Lenothrix canus",3610962,"Muridae","Rodentia",135,1,"Yes",3.17,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3482","Lenoxus apicalis",913878,"Cricetidae","Rodentia",53.6,1,"Yes",-14.20604,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3483","Leontocebus cruzlimai",5852670,"Cebidae","Primates",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3484","Leontocebus fuscicollis",1015238,"Cebidae","Primates",NA,NA,"No",NA,"Least Concern",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3485","Leontocebus fuscus",7655111,NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3486","Leontocebus illigeri",285528,NA,NA,NA,NA,"No",NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3487","Leontocebus lagonotus",809275,NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3488","Leontocebus leucogenys",285526,NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3489","Leontocebus nigricollis",1015216,"Cebidae","Primates",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3490","Leontocebus nigrifrons",285519,NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3491","Leontocebus tripartitus",394176,"Cebidae","Primates",NA,NA,"No",NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3492","Leontocebus weddelli",146657,"Cebidae","Primates",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3493","Leontopithecus caissara",3607559,"Cebidae",NA,572,1,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3494","Leontopithecus chrysomelas",341890,"Cebidae","Primates",572.8,1,"Yes",29.463525,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3495","Leontopithecus chrysopygus",566865,"Cebidae","Primates",700,1,"Yes",-22.610333,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3496","Leontopithecus rosalia",921451,"Cebidae","Primates",535.5,1,"Yes",-19.935556,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3497","Leopardus braccatus",3613208,"Felidae","Carnivora",5157.94,0,"Yes",-18.9416665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3498","Leopardus colocolo",86175,"Felidae","Carnivora",5157.94,0,"Yes",-29.911935,"Near Threatened",NA,NA,"food_animal","food_human","handicrafts_jewellery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3499","Leopardus geoffroyi",774303,"Felidae","Carnivora",5157.94,0,"Yes",-30.3394405,"Least Concern",NA,NA,"handicrafts_jewellery","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3500","Leopardus guigna",507542,"Felidae","Carnivora",5157.94,0,"Yes",-40.835615,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3501","Leopardus guttulus",5839530,"Felidae","Carnivora",NA,NA,"Yes",-20.018056,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3502","Leopardus jacobita",904397,"Felidae","Carnivora",NA,NA,"Yes",NA,"Endangered",NA,NA,"food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3503","Leopardus jacobitus",904397,"Felidae","Carnivora",8133.78,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3504","Leopardus pajeros",3613206,"Felidae","Carnivora",5157.94,0,"Yes",-37.154277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3505","Leopardus pardalis",752746,"Felidae","Carnivora",11900.08,1,"No",NA,"Least Concern",NA,NA,"handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3506","Leopardus tigrinus",774309,"Felidae","Carnivora",2250,1,"Yes",4.6,"Vulnerable",NA,NA,"handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3507","Leopardus wiedii",507553,"Felidae","Carnivora",3249.97,1,"Yes",15.9163695,"Near Threatened",NA,NA,"handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3508","Leopoldamys ciliatus",3608708,"Muridae","Rodentia",336.38,0,"Yes",0.097273,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3509","Leopoldamys diwangkarai",NA,NA,NA,NA,NA,"No",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3510","Leopoldamys edwardsi",366048,"Muridae","Rodentia",300,1,"Yes",25.466669,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3511","Leopoldamys herberti",7067424,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3512","Leopoldamys listeri",7654750,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3513","Leopoldamys milleti",283432,"Muridae","Rodentia",336.38,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3514","Leopoldamys neilli",455741,"Muridae","Rodentia",219,1,"Yes",14.62,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3515","Leopoldamys revertens",4941066,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3516","Leopoldamys sabanus",106790,"Muridae","Rodentia",338.33,1,"Yes",3.23,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3517","Leopoldamys siporanus",3608707,"Muridae",NA,576,1,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3518","Lepilemur aeeclis",757736,"Lepilemuridae","Primates",NA,NA,"Yes",-15.88,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3519","Lepilemur ahmansonori",3607514,NA,NA,NA,NA,"No",NA,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3520","Lepilemur ahmansonorum",3607514,"Lepilemuridae","Primates",NA,NA,"Yes",-16.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521","Lepilemur ankaranensis",414211,"Lepilemuridae","Primates",700.89,0,"Yes",-12.8780845,"Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3522","Lepilemur betsileo",3607511,"Lepilemuridae","Primates",NA,NA,"Yes",-20.38,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3523","Lepilemur dorsalis",231275,"Lepilemuridae","Primates",500,1,"Yes",-13.8,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3524","Lepilemur edwardsi",148503,"Lepilemuridae","Primates",700,1,"Yes",-16.229,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3525","Lepilemur fleuretae",3607513,"Lepilemuridae","Primates",NA,NA,"Yes",-24.77,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3526","Lepilemur grandidieri",7655180,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3527","Lepilemur grewcocki",7655181,"Lepilemuridae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3528","Lepilemur grewcockorum",5839498,"Lepilemuridae","Primates",NA,NA,"Yes",-15.22,"Critically Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3529","Lepilemur hollandorum",6145316,"Lepilemuridae","Primates",NA,NA,"Yes",-16.32,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3530","Lepilemur hubbardorum",112838,"Lepilemuridae","Primates",NA,NA,"Yes",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3531","Lepilemur jamesorum",3428,"Lepilemuridae","Primates",NA,NA,"Yes",-23.0277,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3532","Lepilemur leucopus",274698,"Lepilemuridae","Primates",650,1,"Yes",-25.001621,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3533","Lepilemur manasamody",28538,"Lepilemuridae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3534","Lepilemur microdon",1094522,"Lepilemuridae","Primates",900,1,"Yes",-21.2167,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3535","Lepilemur milanoii",3607518,"Lepilemuridae","Primates",NA,NA,"Yes",-13.15,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3536","Lepilemur mitsinjoensis",68775,"Lepilemuridae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3537","Lepilemur mittermeieri",441927,"Lepilemuridae","Primates",NA,NA,"Yes",-13.63,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3538","Lepilemur mustelinus",388426,"Lepilemuridae","Primates",773,1,"Yes",-19.648217,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3539","Lepilemur otto",28534,"Lepilemuridae","Primates",NA,NA,"Yes",-15.5,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3540","Lepilemur petteri",3607512,"Lepilemuridae","Primates",NA,NA,"Yes",-23.69,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3541","Lepilemur randrianasoloi",848083,"Lepilemuridae","Primates",NA,NA,"Yes",-19.050575,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3542","Lepilemur ruficaudatus",230531,"Lepilemuridae","Primates",700,1,"Yes",-20.179037,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3543","Lepilemur sahamalaza",7655182,NA,NA,NA,NA,"Yes",NA,"Critically Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3544","Lepilemur sahamalazensis",757737,"Lepilemuridae","Primates",NA,NA,"Yes",-14.408591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3545","Lepilemur scottorum",6145317,"Lepilemuridae","Primates",NA,NA,"Yes",-15.666965,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3546","Lepilemur seali",68773,"Lepilemuridae","Primates",NA,NA,"Yes",-15.335278,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3547","Lepilemur septentrionalis",231273,"Lepilemuridae","Primates",750,1,"Yes",-12.916667,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3548","Lepilemur tymerlachsoni",3607517,"Lepilemuridae","Primates",NA,NA,"Yes",-13.428564,"Critically Endangered",NA,NA,"pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","Lepilemur wrightae",3607515,"Lepilemuridae","Primates",NA,NA,"Yes",-23.54,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3550","Lepilemur wrighti",7655183,"Lepilemuridae","Primates",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551","Leporillus apicalis",3608764,"Muridae","Rodentia",150,1,"Yes",-25.8,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3552","Leporillus conditor",38119,"Muridae","Rodentia",350,1,"Yes",-32.29592,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3553","Leptailurus serval",86170,"Felidae","Carnivora",11999.97,1,"Yes",-8.933333,"Critically Endangered","Least Concern",NA,"medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3554","Leptailurus servalina",7656140,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3555","Leptomys arfakensis",6144895,NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3556","Leptomys elegans",692532,"Muridae","Rodentia",84.75,1,"Yes",NA,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3557","Leptomys ernstmayri",3608701,"Muridae","Rodentia",42.85,1,"Yes",-4.70837329258899,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3558","Leptomys paulus",6144896,NA,"Rodentia",NA,NA,"Yes",-9.89131895817719,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3559","Leptomys signatus",3608702,"Muridae","Rodentia",52.04,2,"Yes",-6.55094557307807,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3560","Leptonychotes weddellii",175259,"Phocidae","Carnivora",4e+05,1,"Yes",-68.4958,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3561","Leptonycteris curasoae",111030,"Phyllostomidae","Chiroptera",23.42,1,"Yes",18.365278,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3562","Leptonycteris nivalis",493740,"Phyllostomidae","Chiroptera",25.64,1,"Yes",20.314176,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3563","Leptonycteris yerbabuenae",626271,"Phyllostomidae","Chiroptera",22.24,1,"Yes",20.40361,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3564","Lepus alleni",638208,"Leporidae","Lagomorpha",3685.02,1,"Yes",28.757222,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3565","Lepus americanus",923734,"Leporidae","Lagomorpha",1710.02,1,"Yes",47.589241,"Least Concern",NA,NA,"food_human","handicrafts_jewellery","research","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3566","Lepus angolensis",7654309,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3567","Lepus ansorgei",7654310,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3568","Lepus arcticus",638196,"Leporidae","Lagomorpha",4405.04,1,"Yes",66.133,"Least Concern",NA,NA,"food_human","handicrafts_jewellery","research","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3569","Lepus atlanticus",7654311,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3570","Lepus brachyurus",673130,"Leporidae","Lagomorpha",2519.45,1,"No",NA,"Least Concern",NA,NA,"sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3571","Lepus californicus",923732,"Leporidae","Lagomorpha",2422.48,1,"No",NA,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3572","Lepus callotis",638198,"Leporidae","Lagomorpha",2500,1,"Yes",20.622222,"Vulnerable",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3573","Lepus canopus",7654312,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3574","Lepus capensis",864613,"Leporidae","Lagomorpha",3261.67,1,"No",NA,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3575","Lepus castroviejoi",264104,"Leporidae","Lagomorpha",2822.41,1,"Yes",43.02,"Vulnerable",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3576","Lepus chadensis",7654313,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3577","Lepus comus",542002,"Leporidae","Lagomorpha",1460,1,"Yes",30.6962105,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3578","Lepus cordeauxi",7654314,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3579","Lepus coreanus",575440,"Leporidae","Lagomorpha",2017.79,2,"Yes",37.291111,"Least Concern",NA,NA,"food_animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3580","Lepus corsicanus",29165,"Leporidae","Lagomorpha",3000,1,"Yes",42.31877,"Vulnerable",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581","Lepus crawshayi",950502,"Leporidae","Lagomorpha",NA,NA,"Yes",-0.820994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582","Lepus creticus",7654315,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3583","Lepus crispii",7654316,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3584","Lepus cyprius",7654317,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585","Lepus douglasii",7654318,NA,"Lagomorpha",NA,NA,"Yes",56.51521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586","Lepus europaeus",864607,"Leporidae","Lagomorpha",3740,1,"No",NA,"Least Concern",NA,NA,"establishing_ex_situ_production","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3587","Lepus fagani",3611222,"Leporidae","Lagomorpha",2048.51,2,"Yes",7.779497,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3588","Lepus flavigularis",836256,"Leporidae","Lagomorpha",2999.99,1,"Yes",16.223713,"Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3589","Lepus formosus",7654319,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3590","Lepus granatensis",29167,"Leporidae","Lagomorpha",4010,1,"Yes",39.580001,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591","Lepus habessinicus",29169,"Leporidae","Lagomorpha",2015.56,1,"Yes",8.903015,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
