"","synonyms"
"3926","Megaptera versabilis"
"3927","Megaptera lalandii"
"3928","Megaptera osphya"
"3929","Megaptera longipinna"
"3930","Megaptera poescop"
"3931","Megaptera osphyia"
"3932","Megaptera longimana"
"3933","Balaena gibbosa"
"3934","Balaena lalandii"
"3935","Megaptera bellicosa"
"3936","Megaptera americana"
"3937","Megaptera burmeisteri"
"3938","Megaptera braziliensis"
"3939","Balaena atlanticus"
"3940","Megaptera brasiliensis"
"3941","Balaenoptera syncondylus"
"3942","Balaenoptera antarctica"
"3943","Balaena novaeangliae"
"3944","Balaena longimana"
"3945","Megaptera kusira"
"3946","Megaptera gigas"
"3947","Balaenoptera leucopteron"
"3948","Megaptera indica"
"3949","Megaptera novaezelandiae"
"3950","Rorqualus antarcticus"
"3951","Poescopia lalandii"
"3952","Kyphobalaena keporkak"
"3953","Balaena sulcata antarctica"
"3954","Rorqualus australis"
"3955","Balaenoptera astrolabae"
"3956","Balaena longipinna"
"3957","Megaptera australis"
"3958","Megaptera nodosa novaezelandiae"
"3959","Megaptera novaezealandiae"
"3960","Megaptera nodosa osphyia"
"3961","Balaenoptera gibbosa"
"3962","Megaptera nodosa lalandii"
"3963","Megaptera kuzira"
"3964","Megaptera nodosa bellicosa"
"3965","Megaptera nodosa novaezealandiae"
"3966","Megaptera longimana morei"
"3967","Megaptera nodosa nodosa"
"3968","Megaptera poeskop"
"3969","Megaptera novaeangliae australis"
"3970","Notiosorex gigas"
"3971","Oryzomys phaeopus obscurior"
"3972","Oryzomys idoneus"
"3973","Oryzomys chrysomelas"
"3974","Oryzomys phaeopus"
"3975","Melanomys caliginosus columbianus"
"3976","Melanomys columbianus columbianus"
"3977","Melanomys caliginosus ideoneus"
"3978","Melanomys caliginosus idoneus"
"3979","Melanomys columbianus ideoneus"
"3980","Meles anakuma anakuma"
"3981","Meles meles anakuma"
"3982","Meles meles canescens"
"3983","Meles meles ponticus"
"3984","Meles meles bokharensis"
"3985","Meles meles minor"
"3986","Meles arcalus"
"3987","Viverra capensis"
"3988","Helictis everetti"
"3989","Gulo orientalis"
"3990","Uromys aerosus"
"3991","Melomys cervinipes albiventer"
"3992","Melomys australius"
"3993","Melomys callopes"
"3994","Uromys littoralis"
"3995","Uromys melicus"
"3996","Uromys murinus"
"3997","Melomys mixtus"
"3998","Melomys littoralis insulae"
"3999","Mus burtoni"
"4000","Uromys lutillus"
"4001","Melomys cervinipes pallidus"
"4002","Melomys limicauda"
"4003","Uromys banfieldi"
"4004","Melomys cervinipes bunya"
"4005","Melomys cervinipes eboreus"
"4006","Mus cervinipes"
"4007","Uromys fraterculus"
"4008","Uromys fulgens"
"4009","Melomys latipes"
"4010","Melomys lutillus hintoni"
"4011","Melomys gracilis"
"4012","Ursus ursinus"
"4013","Bradypus ursinus"
"4014","Prochilus ursinus"
"4015","Arceus niger"
"4016","Mephitis mesomelas"
"4017","Viverra nigra"
"4018","Mephitis nigra"
"4019","Viverra mephitis"
"4020","Meriones pallidus tripolius"
"4021","Meriones crasssus pallidus"
"4022","Gerbillus swinhoei"
"4023","Meriones ismahelis"
"4024","Meriones crassus perpallidus"
"4025","Meriones charon"
"4026","Meriones pelerinus"
"4027","Meriones longifrons"
"4028","Cheliones hurrianae collinus"
"4029","Meriones persicus gurganensis"
"4030","Meriones persicus baptistae"
"4031","Tatera suschkini"
"4032","Meriones ambrosius"
"4033","Meriones rossicus"
"4034","Mylomys rex"
"4035","Uromys rex"
"4036","Meriones buryi"
"4037","Tatera philbyi"
"4038","Meriones erythrourus legeri"
"4039","Meriones tamaricinus kokandicus"
"4040","Mus tamariscinus"
"4041","Gerbillus tamaricinus satschouensis"
"4042","Gerbillus tamaricinus jaxartensis"
"4043","Gerbillus ciscaucasicus"
"4044","Meriones kurauchii chihfengensis"
"4045","Gerbillus unguiculatus"
"4046","Meriones kurauchii"
"4047","Gerbillus koslovi"
"4048","Erinaceus dauricus"
"4049","Erinaceus dauuricus"
"4050","Mesembriomys hirsutus rattoides"
"4051","Mesembriomys hirsutus melvillensis"
"4052","Mus hirsutus"
"4053","Hapalotis boweri"
"4054","Hapalotis macrura"
"4055","Mesocapromys rufescens"
"4056","Mysateles melanurus"
"4057","Mysateles arboricolus"
"4058","? melanurus"
"4059","Golden hamsters"
"4060","Syrian hamsters"
"4061","Mesocricetus koenigi"
"4062","Cricetus newtoni"
"4063","Mesocyon baileyi"
"4064","Sunkahetanka geringensis"
"4065","Enhydrocyon geringensis"
"4066","Cynodesmus nobilis"
"4067","Osbornodon iamonensis"
"4068","Paradaphoenus nobilis"
"4069","Paradaphoenus tropicalis"
"4070","Cynodesmus iamonensis"
"4071","Paraenhydrocyon robustus"
"4072","Enhydrocyon robustus"
"4073","Mesomys ferrugineus"
"4074","Mesomys ecaudatus"
"4075","Delphinus sowerbi"
"4076","Physeter bidens"
"4077","Ziphius sowerbiensis"
"4078","Delphinorhynchus sowerbyi"
"4079","Delphinorhynchus micropterus"
"4080","Delphinus sowerbyensis"
"4081","Delphinus micropterus"
"4082","Delphinus sowerbensis"
"4083","Delphinus sowerbyi"
"4084","Delphinus micropteron"
"4085","Mesoplodon sowerbiensis"
"4086","Mesoplodon sowerbensis"
"4087","Mesodiodon sowerbyi"
"4088","Micropteron bidens"
"4089","Nodus dalei"
"4090","Micropteron sowerbiensis"
"4091","Ziphius micropterus"
"4092","Mesoplodon sowerbyi"
"4093","Ziphius sowerbensis"
"4094","Delphinus dalei"
"4095","Micropteron micropterus"
"4096","Mesodiodon micropterum"
"4097","Ziphius sowerbii"
"4098","Aodon dalei"
"4099","Heterodon dalei"
"4100","Diodon sowerbi"
"4101","Diodon sowerbyi"
"4102","Diodon sowerbaei"
"4103","Mesoplodon bowdoini"
"4104","Mesoplodon stejnegeri"
"4105","Ziphius sechellensis"
"4106","Delphinus densirostris"
"4107","Ziphius seychellensis"
"4108","Nodus densirostris"
"4109","Dioplodon sechellensis"
"4110","Dioplodon densirostris"
"4111","Ziphius densirostris"
"4112","Mesodiodon densirostre"
"4113","Mesoplodon gervaisi"
"4114","Mesoplodon densirostris"
"4115","Nodus europaeus"
"4116","Neoziphius europaeus"
"4117","Dioplodon gervaisi"
"4118","Dioplodon europaeus"
"4119","Mesoplodon bidens"
"4120","Mesoplodon densirostris"
"4121","Mesoplodon hotaula"
"4122","Mesoplodon gingkodens"
"4123","Mesoplodon layardi"
"4124","Berardius hectori"
"4125","Mesoplodon haasti"
"4126","Mesoplodon australis"
"4127","Oulodon grayi"
"4128","Mesoplodon knoxi"
"4129","Berardius hectori"
"4130","Paikea hectori"
"4131","Mesoplodon thomsoni"
"4132","Mesoplodon guentheri"
"4133","Mesoplodon longirostris"
"4134","Ziphius layardii"
"4135","Mesoplodon floweri"
"4136","Mesoplodon layardi"
"4137","Dioplodon taramellii"
"4138","Ziphius angustus"
"4139","Ziphius angulatus"
"4140","Mesoplodon scaphoides"
"4141","Dioplodon becanii"
"4142","Rhinostodes antwerpiensis"
"4143","Dolichodon layardii"
"4144","Dioplodon angustus"
"4145","Ziphius longirostris"
"4146","Rhinostodes antverpiensis"
"4147","Belemnoziphius becanii"
"4148","Mesoplodon floris"
"4149","Mesoplodon becanii"
"4150","Mesoplodon angulatus"
"4151","Dioplodon angulatus"
"4152","Dioplodon longirostris"
"4153","Belemnoziphius longirostris"
"4154","Dioplodon farnesinae"
"4155","Mesoplodon antwerpiensis"
"4156","Mesoplodon farnesinae"
"4157","Mesoplodon guntheri"
"4158","Mesodiodon longirostre"
"4159","Mesoplodon angustus"
"4160","Mesoplodon thompsoni"
"4161","Mesoplodon mirum"
"4162","Mesoplodon hectori"
"4163","Mesoplodon bowdoini"
"4164","Nodus stejnegeri"
"4165","Mesoplodon bahamondi"
"4166","Mesoplodon ginkgodens"
"4167","Mesoplodon layardi"
"4168","Mesoplodon layardii"
"4169","Dolichodon layardii"
"4170","Dolichodon traversii"
"4171","Mesoplodon traversi"
"4172","Aethomys granti"
"4173","? granti"
"4174","Aethomys namaquensis"
"4175","Aethomys namaquensis siccatus"
"4176","Aethomys namaquensis waterbergensis"
"4177","Aethomys namaquensis calarius"
"4178","Aethomys namaquensis namibensis"
"4179","Praomys namaquensis capensis"
"4180","Mus auricomis centralis"
"4181","Mus namaquensis monticularis"
"4182","Praomys namaquensis lechochloides"
"4183","? namaquensis"
"4184","Praomys namaquensis klaverensis"
"4185","Praomys namaquensis drakensbergi"
"4186","Mus arborarius"
"4187","Mus lehocla"
"4188","Mus avarillus"
"4189","Mus auricomis"
"4190","Callithrix acariensis"
"4191","Callithrix chrysoleuca"
"4192","Mico chrysoleuca"
"4193","Mico chrysoleucos"
"4194","Mico sericeus"
"4195","Callithrix emiliae"
"4196","Hapale emiliae"
"4197","Callithrix humeralifera"
"4198","Callithrix jacchus humeralifer"
"4199","Hapale humeralifer"
"4200","Mico humeralifera"
"4201","Hapale santaremensis"
"4202","Callithrix intermedia"
"4203","Callithrix leucippe"
"4204","Callithrix marcai"
"4205","Callithrix argentata marcai"
"4206","Callithrix manicorensis"
"4207","Mico manicorensis"
"4208","Callithrix mauesi"
"4209","Callithrix melanura"
"4210","? melanurus"
"4211","Simia leukeurin"
"4212","Jacchus leucomerus"
"4213","Mico sp. m TH-2019"
"4214","Callithrix nigriceps"
"4215","Callithrix rondoni"
"4216","Callithrix saterei"
"4217","Marmosa (Micoureus) alstoni"
"4218","Marmosa (Micoureus) constantiae"
"4219","Marmosa constantiae"
"4220","Marmosa demerarae"
"4221","Marmosa cinerea demerarae"
"4222","Marmosa cinerea"
"4223","Didelphis cinerea"
"4224","Micoureus cinereus"
"4225","Marmosa (Micoureus) paraguayana"
"4226","Marmosa paraguayana"
"4227","Marmosa paraguayanus"
"4228","Marmosa phaea"
"4229","Marmosa (Micoureus) regina"
"4230","Marmosa germana"
"4231","Marmosa regina"
"4232","Marmosa regina pardus"
"4233","Mikroakodontomys transitorius"
"4234","Marohita mouse lemur"
"4235","Microcebus sp. Marolambo"
"4236","Galago madagascariensis"
"4237","Lemur murinus"
"4238","Chirogaleus gliroides"
"4239","Cheirogaleus minor"
"4240","Lemur prehensilis"
"4241","Prosimia minima"
"4242","Myscebus palmarum"
"4243","Lemur pusillus"
"4244","Galago madagascarensis"
"4245","Microcebus murinus rufus"
"4246","Chirogaleus smithii"
"4247","Microcebus sp. Ivorona/Manantantely"
"4248","Oryzorictes gracilis"
"4249","Microgale brevicaudata grandidieri"
"4250","Microgale longicaudata majori"
"4251","Microgale pulla"
"4252","Microhydromys richardsonii"
"4253","Rattus richardsoni"
"4254","Stenomys richardsoni"
"4255","Mus minatus"
"4256","Mus minutus sareptae"
"4257","Micromys minutus kytmanovi"
"4258","Mus minutus fenniae"
"4259","Mus minutus ussuricus"
"4260","Micromys minutus brauneri"
"4261","Mus minutus typicus"
"4262","Mus minutus flavus"
"4263","Micromys minutus takasagoensis"
"4264","Micromys minutus mehelyi"
"4265","Micromys messorius"
"4266","Mus minutus batarovi"
"4267","Micromys minutus berezowskii"
"4268","Micromys minutus minutus"
"4269","Micromys minutus subobscurus"
"4270","Micromys minutus aokii"
"4271","Mus pygmaeus"
"4272","Micromys fenniae"
"4273","Micromys subobscurus"
"4274","Micromys pendulinus"
"4275","Micromys arundinaceus"
"4276","Micromys meridionalis"
"4277","Micromys oryzivorus"
"4278","Micromys campestris"
"4279","Micromys soricinus"
"4280","Micromys pumilus"
"4281","Mus pratensis"
"4282","Micromys minatus"
"4283","Mus messorius"
"4284","Micromys minutus japonicus"
"4285","Micromys minutus hondonis"
"4286","Micromys triticetus"
"4287","Micromys danubialis"
"4288","Micromys pratensis"
"4289","Mus minutus"
"4290","Mus soricinus"
"4291","Mus minimus"
"4292","Mus meridionalis"
"4293","Mus triticeus"
"4294","Mus parvulus"
"4295","Mus pumilus"
"4296","Mus oryzivorus"
"4297","Mus erythrotis"
"4298","Micromys agilis"
"4299","Mus arundinaceus"
"4300","Mus arvensis"
"4301","Mus avenarius"
"4302","Mus pendulinus"
"4303","Mus campestris"
"4304","Lampronycteris brachyotis"
"4305","Schizostoma brachyote"
"4306","? brachyotis"
"4307","Micronycteris sp. PAL-2011"
"4308","Micronycteris sp. TK104673"
"4309","Schizostoma hirsutum"
"4310","Phyllophora megalotis"
"4311","Micronycteris homezi"
"4312","Micronycteris megalotis homezi"
"4313","Micronycteris megalotis homezorum"
"4314","Schizostoma minutum"
"4315","Micronycteris homezorum"
"4316","Trinycteris nicefori"
"4317","Micronycteris sp. 1 LS-2013"
"4318","Peroryctes papuensis"
"4319","Kalepithecus songhorensis"
"4320","Epomophorus pusillus"
"4321","Microtus abbreviatus fisheri"
"4322","Microtus britannicus"
"4323","Microtus agrestis nigra"
"4324","Microtus agrestis estiae"
"4325","Mus agrestis"
"4326","Microtus agrestis neglectus"
"4327","Microtus agrestis gregarius"
"4328","Microtus agrestis pannonicus"
"4329","Arvicola agrestis angustifrons"
"4330","Microtus agrestis exsul"
"4331","Microtus agrestis ognevi"
"4332","Microtus agrestis argyropoli"
"4333","Arvicola agrestis nigra"
"4334","Arvicola agrestis rufa"
"4335","Microtus agrestis insul"
"4336","Microtus agrestis punctus"
"4337","Arvicola agrestis latifrons"
"4338","Microtus agrestis wettsteini"
"4339","Microtus agrestis luch"
"4340","Microtus agrestis tridentinus"
"4341","Microtus hirtus orioecus"
"4342","Mus arvalis nigricans"
"4343","Microtus agrestis fiona"
"4344","Microtus fiona"
"4345","Microtus agrestis heptneri"
"4346","Microtus agrestis enezgroezi"
"4347","Microtus agrestis levernedii"
"4348","Arvicola bailloni"
"4349","Arvicola rozianus"
"4350","Arvicola hirta"
"4351","Microtus macgillivrayi"
"4352","Microtus agrestis agrestis"
"4353","Microtus agrestis mongol"
"4354","Microtus gregarius"
"4355","Microtus pannonicus"
"4356","Lemmus insularis"
"4357","Microtus nigricans"
"4358","Microtus rozianus"
"4359","Mus gregarius"
"4360","Microtus argyropuli"
"4361","Microtus estiae"
"4362","Microtus agrestis mial"
"4363","Microtus arcturus"
"4364","Microtus levernedii"
"4365","Microtus agrestis armoricanus"
"4366","Microtus latifrons"
"4367","Arvicola britannicus"
"4368","Microtus luch"
"4369","Microtus bailloni"
"4370","Arvicola neglectus"
"4371","Microtus mial"
"4372","Arvicola intermedia"
"4373","Microtus hirta"
"4374","Arvicola levernedii"
"4375","Microtus brevirostris"
"4376","Mus obscurus"
"4377","Mus arvalis"
"4378","Microtus orcadensis ronaldshaiensis"
"4379","Arvicola arvalis flava"
"4380","Arvicola arvalis assimilis"
"4381","Arvicola arvalis simplex"
"4382","Microtus sandayensis westrae"
"4383","Microtus arvalis iphigeniae"
"4384","Arvicola arvalis fulva"
"4385","Microtus arvalis hawelkae"
"4386","Microtus orcadensis rousiensis"
"4387","Arvicola arvalis principalis"
"4388","Microtus arvalis transcaucasicus"
"4389","Arvicola arvalis depressa"
"4390","Mus arvalis albus"
"4391","Microtus arvalis transuralensis"
"4392","Microtus orcadensis sandayensis"
"4393","Microtus arvalis meridianus"
"4394","Arvicola arvalis contigua"
"4395","Microtus arvalis gudauricus"
"4396","Arvicola arvalis variabilis"
"4397","Microtus arvalis cimbricus"
"4398","Microtus arvalis macrocranius"
"4399","Microtus arvalis khorkoutensis"
"4400","Arvicola arvalis ater"
"4401","Arvicola arvalis duplicatus"
"4402","Arvicola arvalis galliardi"
"4403","Microtus arvalis incognitus"
"4404","Microtus arvalis incertus"
"4405","Microtus arvalis oyaensis"
"4406","Microtus arvalis meldensis"
"4407","Microtus obscurus"
"4408","Arvicola arvensis"
"4409","Hypudaeus obscurus"
"4410","Microtus sarnius"
"4411","Microtus asturianus"
"4412","Microtus hyrcania"
"4413","Arvicola vulgaris"
"4414","Arvicola mystacinus"
"4415","Microtus arvalis calypsus"
"4416","Arvicola incertus"
"4417","Arvicola cunicularius"
"4418","Microtus orcadensis"
"4419","Lemmus fulvus"
"4420","Pitymys incertus"
"4421","Microtus terrestris"
"4422","Microtus angularis"
"4423","Arvicola campestris"
"4424","Microtus dentatus"
"4425","Microtus cabrerae dentatus"
"4426","Pitymys daghestanicus nasarovi"
"4427","Microtus rubelianus intermedius"
"4428","Microtus nasarovi"
"4429","Pitymys duodecimcostatus"
"4430","Pitymys ibericus pascuus"
"4431","Pitymys ibericus fuscus"
"4432","Pitymys ibericus regulus"
"4433","Arvicola duodecimcostatus"
"4434","Terricola duodecimcostatus"
"4435","Pitymys provincialis"
"4436","Pitymys flavescens"
"4437","Arvicola ibericus"
"4438","Microtus (Terricola) felteni"
"4439","Microtus pyrenaicus"
"4440","Arvicola gerbii"
"4441","Arvicola pyrenaicus"
"4442","Pitymys pyrenaicus brunneus"
"4443","Pitymys gerbii"
"4444","Microtus pyrenaicus gerbei"
"4445","Microtus pyrenaicus pyrenaicus"
"4446","Pitymys planiceps"
"4447","Pitymys savii pyrenaicus"
"4448","Microtus brunneus"
"4449","Pitymys pyrenaicus"
"4450","Microtus (Microtus) guentheri"
"4451","Mus guentheri"
"4452","Microtus guentheri shevketi"
"4453","Arvicola guentheri"
"4454","Microtus mustersi"
"4455","Microtus lydius"
"4456","Microtus hartingi"
"4457","Microtus philistinus"
"4458","Volemys kikuchii"
"4459","Microtus agrestis lavernedii"
"4460","? lavernedii"
"4461","Microtus (Microtus) rossiaemeridionalis"
"4462","Microtus epiroticus"
"4463","Microtus rossiaemeridionalis"
"4464","Microtus subarvalis"
"4465","Microtus arvalis relictus"
"4466","Microtus arvalis rossiaemeridionalis"
"4467","Microtus arvalis muhlisi"
"4468","Pitymys liechtensteini"
"4469","Microtus malcolmi"
"4470","Microtus longicaudus incanus"
"4471","Microtus mordax halli"
"4472","Microtus mordax angustus"
"4473","Microtus longicaudus baileyi"
"4474","Microtus mordax littoralis"
"4475","Microtus mordax latus"
"4476","Microtus mordax sierrae"
"4477","Microtus mordax"
"4478","Arvicola longicaudus"
"4479","Microtus longicaudus coronarius"
"4480","Microtus coronarius"
"4481","Microtus mordax abditus"
"4482","Microtus macrurus"
"4483","Arvicola alticolus"
"4484","Microtus longicaudus longicaudus"
"4485","Microtus mordax bernardinus"
"4486","Arvicola mordax"
"4487","Microtus angusticeps"
"4488","Microtus vellerosus"
"4489","Arvicola leucophaeus"
"4490","Pitymys lusitanicus"
"4491","Arvicola lusitanicus"
"4492","Pitymys mariae hurdanensis"
"4493","Pitymys pelandonius"
"4494","Microtus mariae"
"4495","Pitymys depressus"
"4496","Arbusticola rubelianus ciscaucasicus"
"4497","Microtus rubelianus colchicus"
"4498","Microtus vinogradovi"
"4499","Microtus dinniki"
"4500","Microtus rubelianus"
"4501","Microtus muriei"
"4502","Microtus miurus oreas"
"4503","Microtus miurus paneaki"
"4504","Microtus andersoni"
"4505","Microtus cantator"
"4506","Microtus montebelli brevicorpus"
"4507","Arvicola hatanedzumi"
"4508","Arvicola multiplex"
"4509","Pitymys fatioi orientalis"
"4510","Pitymys multiplex fatioi"
"4511","Microtus leponticus"
"4512","Pitymys druentius"
"4513","Terricola multiplex"
"4514","Pitymys multiplex"
"4515","Microtus arvalis mystacinus"
"4516","Microtus arvalis obscurus"
"4517","Microtus ochrogaster ludovicianus"
"4518","Microtus ochrogaster ohioensis"
"4519","Microtus ochrogaster taylori"
"4520","Pedomys ochrogaster"
"4521","Pitymys ochrogaster"
"4522","Microtus ochrogaster similis"
"4523","Arvicola austerus minor"
"4524","Microtus ludovicianus"
"4525","Arvicola austerus"
"4526","Hypudaeus ochrogaster"
"4527","Arvicola cinnamonea"
"4528","Arvicola haydenii"
"4529","Microtus oregoni cantwelli"
"4530","Microtus oregoni adocetus"
"4531","Microtus serpens"
"4532","Microtus morosus"
"4533","Microtus bairdi"
"4534","Pitymys pinetorum schmidti"
"4535","Microtus pinetorum auricularis"
"4536","Pitymys pinetorum carbonarius"
"4537","Psammomys pinetorum"
"4538","Microtus pinetorum parvulus"
"4539","Microtus pinetorum nemoralis"
"4540","Pitymys parvulus"
"4541","Microtus parvulus"
"4542","Pitymys pinetorum"
"4543","Microtus pinetorum pinetorum"
"4544","Arvicola scalopsoides"
"4545","Arvicola apella"
"4546","Arvicola kennicottii"
"4547","Microtus richardsoni myllodontus"
"4548","Arvicola richardsoni"
"4549","Arvicola macropus"
"4550","Microtus principalis"
"4551","Aulacomys arvicoloides"
"4552","Microtus socialis goriensis"
"4553","Microtus colchicus"
"4554","Mus socialis"
"4555","Chionomys socialis satunini"
"4556","Microtus socialis binominatus"
"4557","Microtus parvus"
"4558","Microtus gravesi"
"4559","Hypudaeus syriacus"
"4560","Mus astrachanensis"
"4561","Microtus (Terricola) subterraneus"
"4562","Pitymys subterraneus"
"4563","Arvicola subterraneus"
"4564","Arvicola agrestis fusca"
"4565","Pitymys nyirensis martinoi"
"4566","Pitymys majori fingeri"
"4567","Pitymys multiplex hercegovinensis"
"4568","Pitymys suberraneus wettsteini"
"4569","Pitymys subterraneus capucinus"
"4570","Pitymys zimmermanni"
"4571","Pitymys subterraneus atratus"
"4572","Pitymys multiplex brauneri"
"4573","Pitymys subterraneus matrensis"
"4574","Microtus subterraneus capucinus"
"4575","Pitymys dacius hungaricus"
"4576","Pitymys transsylvanicus"
"4577","Hypudaeus rufescente-fuscus"
"4578","Pitymys dacius"
"4579","Pitymys incertoides"
"4580","Pitymys klozeli"
"4581","Microtus incertus"
"4582","Terricola subterraneus"
"4583","Pitymys nyirensis"
"4584","Pitymys mustersi"
"4585","Hypudaeus rufofuscus"
"4586","Pitymys ehiki"
"4587","Pitymys kupelwieseri"
"4588","Pitymys ukrainicus"
"4589","Pitymys tatricus"
"4590","Microtus townsendii cummingi"
"4591","Microtus townsendi laingi"
"4592","Microtus townsendii pugeti"
"4593","Arvicola occidentalis"
"4594","Arvicola tetramerus"
"4595","Microtus townsendii cowani"
"4596","Microtus kermanensis"
"4597","Arvicola xanthognatha"
"4598","Millardia meltada pallidior"
"4599","Millardia meltada singuri"
"4600","Millardia meltada dunni"
"4601","Mus comberi"
"4602","Mus lanuginosus"
"4603","Mus listoni"
"4604","Vesperugo moloneyi"
"4605","Phyllostoma bennettii"
"4606","Nectomys hammondi"
"4607","Oryzomys hammondi"
"4608","? hammondi"
"4609","Miniopterus sp. BBRA-2009b"
"4610","Miniopterus sp. SMG-2014b"
"4611","Miniopterus schreibersii fuliginosus"
"4612","Miniopterus sp. SJP-2014a"
"4613","Miniopterus sp. BBRA-2009d"
"4614","Miniopterus manavi manavi"
"4615","Miniopterus sp. 1 BRA-2013"
"4616","Miniopterus newtoni"
"4617","Miniopterus minor newtoni"
"4618","Miniopterus sp. BBRA-2009a"
"4619","Miniopterus sp. petersoni"
"4620","Miniopterus australis robustior"
"4621","Miniopterus australis shortridgei"
"4622","Pteralopex acrodonta"
"4623","Macrorhinus angustirostris"
"4624","Mirounga leonina crosetensis"
"4625","Mirounga leonina falclandica"
"4626","Phoca leonina"
"4627","Mirounga leonina macquariensis"
"4628","Otaria leonina"
"4629","Macrorhinus leonina"
"4630","Macrorhinus leoninus"
"4631","Phoca proboscidea"
"4632","Microcebus coquereli"
"4633","Cheirogaleus coquereli"
"4634","? coquereli"
"4635","Moeritherium ancestrale"
"4636","Mogera wogura minor"
"4637","Mogera minor"
"4638","Mogera sp. SIK0533"
"4639","Mogera sp. SIK0583"
"4640","Mogera sp. SIK0584"
"4641","Mogera sp. SIK0588"
"4642","Mogera sp. SIK0589"
"4643","Mogera sp. SIK0590"
"4644","Mogera sp. SIK0629"
"4645","Mogera sp. SIK0630"
"4646","Mogera sp. SIK0632"
"4647","Mogera sp. SIK0633"
"4648","Mogera sp. THU29"
"4649","Mogera sp. THU30"
"4650","Mogera sp. THU32"
"4651","Nesoscaptor uchidai"
"4652","Talpa wogura"
"4653","Neoplatymops mattogrossensis"
"4654","Molossus ater"
"4655","Phoca monachus"
"4656","Leptonyx monachus"
"4657","Monachus albiventer"
"4658","Phoca albiventer"
"4659","Pelagocyon monachus"
"4660","Monachus bicolor"
"4661","Monachus leucogaster"
"4662","Monachus mediterraneus"
"4663","Monachus atlantica"
"4664","Monachus hermannii"
"4665","Didelphis brevicaudata"
"4666","Didelphys domestica"
"4667","Peramys emiliae"
"4668","Monodelphis adusta peruviana"
"4669","Monodelphis sp. B SeSo-2011"
"4670","Mustela touan"
"4671","Viverra touan"
"4672","Monodon microcephalus"
"4673","Monodon narhval"
"4674","Monodon narhwal"
"4675","Narwalus andersonianus"
"4676","Ceratodontis ceratodon"
"4677","Narwalus microcephalus"
"4678","Tachynices megacephalus"
"4679","Narwalus vulgaris"
"4680","Ceratodon monodon"
"4681","Nyctinomus demonstrator"
"4682","Mops condylurus leucostigma"
"4683","Chaerephon leucostigma"
"4684","Dysopes mops"
"4685","Mops angolensis niveiventer"
"4686","Tadarida petersoni"
"4687","Xiphonycteris spurrelli"
"4688","Nyctinomus thersites"
"4689","Chonecetus yabukii"
"4690","Mormoops blainvillii"
"4691","Mormoops megaphylla"
"4692","Vespertilio acetabulosus"
"4693","Mormopterus loriae cobourgiana"
"4694","Tadarida loriae cobourgiana"
"4695","Nyctinomus jugularis"
"4696","Nyctinomus kalinowskii"
"4697","Nyctinomus loriae"
"4698","Mormopterus loriae loriae"
"4699","Nyctinomus minutus"
"4700","Molossus norfolkensis"
"4701","Molossus wilcoxii"
"4702","Nyctinomus petersi"
"4703","Nyctinomus planiceps"
"4704","Nyctinomus petersi"
"4705","Mormopterus loriae ridei"
"4706","Tadarida loriae ridei"
"4707","Tragulus meminna"
"4708","Moschus meminna"
"4709","Meminna indica"
"4710","? meminna"
"4711","Moschus sifanicus"
"4712","Herpestes gambianus"
"4713","Crossarchus gambianus"
"4714","Viverra mungo"
"4715","Ichneumon taenionotus"
"4716","Crossarchus fasciatus colonus"
"4717","Herpestes mungo"
"4718","Crossarchus fasciatus"
"4719","Mangusta mungo"
"4720","Herpestes fasciatus"
"4721","Ichneumon mungo"
"4722","Ariela taenionota"
"4723","Galidia decemlineata"
"4724","Mungotictis lineatus"
"4725","Mungotictis substriatus"
"4726","Galidictis vittata"
"4727","Cervulus crinifrons"
"4728","Cervus feae"
"4729","Muntiacus feae rooseveltorum"
"4730","Caninmuntiacus truongsonensis"
"4731","Muntiacus muntiak vaginalis"
"4732","Muntiacus muntjac vaginalis"
"4733","Muntiacus muntjak vaginalis"
"4734","Megamuntiacus vuquangensis"
"4735","Muntiacus vuquanghensis"
"4736","Antechinus habbema"
"4737","Micromurexia habbema"
"4738","Antechinus melanurus"
"4739","Murexechinus melanurus"
"4740","Phascogale melanura"
"4741","Phascogale melanura modesta"
"4742","Antechinus wilhelmina"
"4743","Paramurexia rothschildi"
"4744","? rothschildi"
"4745","Mus imberbis"
"4746","Murina eileenae"
"4747","Murina cyclotis eileenae"
"4748","Murina cyclotis cyclotis"
"4749","Murina sp. FH-2015"
"4750","Murina huttonii fusca"
"4751","Harpyiocephalus hilgendorfi"
"4752","Murina sp. C MR-2012"
"4753","Murina sp. VTT-2015a"
"4754","Murina sp. a JLE-2011"
"4755","Murina cyclotis peninsularis"
"4756","Murina sp. B MR-2012"
"4757","Murina rongjaingensis Chen, Liu, Deng, Xiao & Zhou, 2017"
"4758","Murina sp. n. HW-2018"
"4759","Murina harrisoni"
"4760","Harpiocephalus tubinaris"
"4761","Nannomys baoulei"
"4762","Mus albidiventris"
"4763","Leggada lepidoides"
"4764","Mus fulvidiventris"
"4765","Nannomys bufo"
"4766","Mus avellanarius"
"4767","Muscardinus avellanarius niveus"
"4768","Muscardinus avellanarius anglicus"
"4769","Muscardinus avellanarius zeus"
"4770","Muscardinus avellanarius pulcher"
"4771","Muscardinus avellanarius abanticus"
"4772","Muscardinus pulcher"
"4773","Myoxus speciosus"
"4774","Muscardinus trapezius"
"4775","Myoxus muscardinus"
"4776","Mus corilinum"
